"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor"
2023,2,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Milers d'euros","486.2"
2023,2,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Milers d'euros","345.2"
2023,2,2,"Eixample",10,"Sant Antoni","Total. Milers d'euros","351.4"
2023,2,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Milers d'euros","223.6"
2023,2,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Milers d'euros","--"
2023,2,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Milers d'euros","244.8"
2023,2,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Milers d'euros","251.0"
2023,2,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Milers d'euros","196.9"
2023,2,3,"Sants-Montjuïc",16,"la Bordeta","Total. Milers d'euros","316.6"
2023,2,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Milers d'euros","213.8"
2023,2,3,"Sants-Montjuïc",18,"Sants","Total. Milers d'euros","318.2"
2023,2,4,"Les Corts",19,"les Corts","Total. Milers d'euros","386.2"
2023,2,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Milers d'euros","436.5"
2023,2,4,"Les Corts",21,"Pedralbes","Total. Milers d'euros","866.6"
2023,2,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Milers d'euros","331.8"
2023,2,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Milers d'euros","808.9"
2023,2,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Milers d'euros","992.1"
2023,2,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Milers d'euros","821.1"
2023,2,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Milers d'euros","801.0"
2023,2,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Milers d'euros","492.5"
2023,2,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Milers d'euros","351.0"
2023,2,6,"Gràcia",29,"el Coll","Total. Milers d'euros","217.4"
2023,2,6,"Gràcia",30,"la Salut","Total. Milers d'euros","374.6"
2023,2,6,"Gràcia",31,"la Vila de Gràcia","Total. Milers d'euros","353.2"
2023,2,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total. Milers d'euros","318.2"
2023,2,7,"Horta-Guinardó",33,"el Baix Guinardó","Total. Milers d'euros","266.1"
2023,2,7,"Horta-Guinardó",34,"Can Baró","Total. Milers d'euros","187.3"
2023,2,7,"Horta-Guinardó",35,"el Guinardó","Total. Milers d'euros","263.2"
2023,2,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total. Milers d'euros","333.3"
2023,2,7,"Horta-Guinardó",37,"el Carmel","Total. Milers d'euros","164.2"
2023,2,7,"Horta-Guinardó",38,"la Teixonera","Total. Milers d'euros","204.1"
2023,2,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Total. Milers d'euros","203.0"
2023,2,7,"Horta-Guinardó",40,"Montbau","Total. Milers d'euros","176.6"
2023,2,7,"Horta-Guinardó",41,"la Vall d'Hebron","Total. Milers d'euros","240.8"
2023,2,7,"Horta-Guinardó",42,"la Clota","Total. Milers d'euros","--"
2023,2,7,"Horta-Guinardó",43,"Horta","Total. Milers d'euros","241.4"
2023,2,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Total. Milers d'euros","188.9"
2023,2,8,"Nou Barris",45,"Porta","Total. Milers d'euros","194.2"
2023,2,8,"Nou Barris",46,"el Turó de la Peira","Total. Milers d'euros","162.5"
2023,2,8,"Nou Barris",47,"Can Peguera","Total. Milers d'euros","215.0"
2023,2,8,"Nou Barris",48,"la Guineueta","Total. Milers d'euros","194.0"
2023,2,8,"Nou Barris",49,"Canyelles","Total. Milers d'euros","224.7"
2023,2,8,"Nou Barris",50,"les Roquetes","Total. Milers d'euros","110.6"
