Any,Trimestre,Mes,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Compraventa_Unitario,ParadosReg,Estudios_Obligatorios,ConsumResidencial,Pm25,Pm10,Participacion,AñosEspVida,Internet,Movil,Index_Turisme,m² por habitante
2014,2,4,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2676.3,159,,,,,49.6,,,,,17.6
2014,2,5,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2676.3,157,,,,,49.6,,,,,17.6
2014,2,6,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2676.3,158,,,,,49.6,,,,,17.6
2014,3,7,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2416.1,148,,,,,49.6,,,,,17.6
2014,3,8,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2416.1,145,,,,,49.6,,,,,17.6
2014,3,9,3,Sants-Montjuïc,12,la Marina del Prat Vermell,2416.1,139,,,,,49.6,,,,,17.6
2014,4,10,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1772.5,151,,,,,49.6,,,,,17.6
2014,4,11,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1772.5,142,,,,,49.6,,,,,17.6
2014,4,12,3,Sants-Montjuïc,12,la Marina del Prat Vermell,1772.5,136,,,,,49.6,,,,,17.6
2014,1,1,3,Sants-Montjuïc,13,la Marina de Port,2212.3,2396,,,,,49.6,83.9,,,,17.6
2014,1,2,3,Sants-Montjuïc,13,la Marina de Port,2212.3,2382,,,,,49.6,83.9,,,,17.6
2014,1,3,3,Sants-Montjuïc,13,la Marina de Port,2212.3,2416,,,,,49.6,83.9,,,,17.6
2014,2,4,3,Sants-Montjuïc,13,la Marina de Port,1752.7,2424,,,,,49.6,83.9,,,,17.6
2014,2,5,3,Sants-Montjuïc,13,la Marina de Port,1752.7,2352,,,,,49.6,83.9,,,,17.6
2014,2,6,3,Sants-Montjuïc,13,la Marina de Port,1752.7,2339,,,,,49.6,83.9,,,,17.6
2014,3,7,3,Sants-Montjuïc,13,la Marina de Port,1977.5,2338,,,,,49.6,83.9,,,,17.6
2014,3,8,3,Sants-Montjuïc,13,la Marina de Port,1977.5,2327,,,,,49.6,83.9,,,,17.6
2014,3,9,3,Sants-Montjuïc,13,la Marina de Port,1977.5,2283,,,,,49.6,83.9,,,,17.6
